player_name,age,position,club_involved,fee,transfer_period,year,season
Odion Ighalo,21,Centre-Forward,Udinese Calcio,0.0,Winter,2010,2010/2011
Yuto Nagatomo,24,Left-Back,FC Tokyo,0.0,Winter,2010,2010/2011
Éder,24,Second Striker,Brescia,5000000.0,Summer,2011,2011/2012
Marco Rossi,23,Centre-Back,Parma,4000000.0,Summer,2011,2011/2012
Antonio Candreva,24,Right Midfield,Udinese Calcio,500000.0,Summer,2011,2011/2012
Abdelkader Ghezzal,26,Centre-Forward,Bari,400000.0,Summer,2011,2011/2012
Damjan Djokovic,21,Central Midfield,Monza,220000.0,Summer,2011,2011/2012
Andrea Rossini,21,Goalkeeper,Foligno,150000.0,Summer,2011,2011/2012
Roberto Guana,30,Central Midfield,US Palermo,100000.0,Summer,2011,2011/2012
Vincenzo Rennella,22,Centre-Forward,Genoa,100000.0,Summer,2011,2011/2012
Adrian Mutu,32,Centre-Forward,Fiorentina,0.0,Summer,2011,2011/2012
Gianluca Comotto,32,Right-Back,Fiorentina,0.0,Summer,2011,2011/2012
Giacomo Bassoli,21,Right-Back,Bologna U19,0.0,Summer,2011,2011/2012
Marko Livaja,18,Centre-Forward,Inter,0.0,Summer,2011,2011/2012
Ahmed Guilouzi,21,Defensive Midfield,Modena,0.0,Summer,2011,2011/2012
Guillermo Rodríguez,27,Centre-Back,Peñarol,0.0,Summer,2011,2011/2012
Raphael Martinho,23,Left Midfield,Catania,0.0,Summer,2011,2011/2012
Jorge Martínez,28,Right Winger,Juventus,0.0,Summer,2011,2011/2012
Tibor Cica,17,Central Midfield,Cesena U19,0.0,Summer,2011,2011/2012
Alex Calderoni,35,Goalkeeper,Without Club,0.0,Summer,2011,2011/2012
César Meza Colli,19,Attacking Midfield,Cesena U19,0.0,Summer,2011,2011/2012
Emanuele Giaccherini,26,Left Midfield,Juventus,-7250000.0,Summer,2011,2011/2012
Yuto Nagatomo,24,Left-Back,Inter,-4500000.0,Summer,2011,2011/2012
Nebil Caidi,22,Centre-Back,Pavia,0.0,Summer,2011,2011/2012
Ameth Fall,20,Centre-Forward,Lecco,0.0,Summer,2011,2011/2012
Alessio Petti,20,Left-Back,Foligno,0.0,Summer,2011,2011/2012
Ahmed Guilouzi,21,Defensive Midfield,NK Zagreb,0.0,Summer,2011,2011/2012
Marco Arrigoni,22,Centre-Back,Santarcangelo,0.0,Summer,2011,2011/2012
Andrea Rossini,21,Goalkeeper,Frosinone,0.0,Summer,2011,2011/2012
Kadir Caidi,20,Centre-Back,Santarcangelo,0.0,Summer,2011,2011/2012
Sacha Cori,22,Centre-Forward,Carrarese,500,Summer,2011,2011/2012
Luca Giunchi,25,Central Midfield,Poggibonsi,0.0,Summer,2011,2011/2012
Giuseppe De Feudis,28,Defensive Midfield,Torino,0.0,Summer,2011,2011/2012
Luca Righini,20,Central Midfield,Valenzana,0.0,Summer,2011,2011/2012
Andrea Tabanelli,21,Central Midfield,Giacomense,0.0,Summer,2011,2011/2012
Franco Chiavarini,31,Centre-Forward,Südtirol,0.0,Summer,2011,2011/2012
Fabio Cusaro,26,Centre-Back,Monza,0.0,Summer,2011,2011/2012
Andrea Moretti,22,Centre-Forward,Sansepolcro,0.0,Summer,2011,2011/2012
Roope Riski,19,Centre-Forward,TPS,0.0,Summer,2011,2011/2012
Niccolò Rosseti,21,Centre-Back,Monza,0.0,Summer,2011,2011/2012
Giacomo Bassoli,21,Right-Back,Santarcangelo,0.0,Summer,2011,2011/2012
Elia Ballardini,19,Right Midfield,Carrarese,0.0,Summer,2011,2011/2012
Alex Teodorani,19,Goalkeeper,SPAL,0.0,Summer,2011,2011/2012
Marco Tattini,20,Second Striker,Foligno,0.0,Summer,2011,2011/2012
Luigi Piangerelli,37,Defensive Midfield,Retired,0.0,Summer,2011,2011/2012
Stephen Appiah,30,Defensive Midfield,Without Club,0.0,Summer,2011,2011/2012
Maximiliano Pellegrino,31,Centre-Back,Atalanta BC,0.0,Summer,2011,2011/2012
Igor Budan,31,Centre-Forward,US Palermo,0.0,Summer,2011,2011/2012
Luis Jiménez,27,Attacking Midfield,Ternana,0.0,Summer,2011,2011/2012
Gabriele Paonessa,24,Attacking Midfield,Parma,0.0,Summer,2011,2011/2012
Nicolás Gorobsov,21,Defensive Midfield,Torino,0.0,Summer,2011,2011/2012
Ivan Fatic,22,Centre-Back,Genoa,0.0,Summer,2011,2011/2012
Paolo Sammarco,28,Central Midfield,Sampdoria,0.0,Summer,2011,2011/2012
Alex Calderoni,35,Goalkeeper,Atletico Roma,0.0,Summer,2011,2011/2012
Paolo Dellafiore,26,Centre-Back,Parma,0.0,Summer,2011,2011/2012
Alessandro Rosina,27,Right Winger,Zenit S-Pb,0.0,Summer,2011,2011/2012
Felipe,26,Centre-Back,Fiorentina,0.0,Summer,2011,2011/2012
Davide Santon,20,Right-Back,Inter,0.0,Summer,2011,2011/2012
Fabio Caserta,32,Central Midfield,Atalanta BC,0.0,Summer,2011,2011/2012
Vangelis Moras,30,Centre-Back,Swansea,0.0,Winter,2011,2011/2012
Vincenzo Iaquinta,32,Centre-Forward,Juventus,0.0,Winter,2011,2011/2012
Daniel Pudil,26,Left-Back,Granada CF,0.0,Winter,2011,2011/2012
Simone Del Nero,30,Left Winger,Lazio,0.0,Winter,2011,2011/2012
Mario Santana,30,Second Striker,SSC Napoli,0.0,Winter,2011,2011/2012
Tommaso Arrigoni,17,Central Midfield,Cesena U19,0.0,Winter,2011,2011/2012
Stefan Popescu,18,Left-Back,Cesena U19,0.0,Winter,2011,2011/2012
Éder,25,Second Striker,Sampdoria,-500000.0,Winter,2011,2011/2012
Luca Ricci,22,Centre-Back,Spezia Calcio,0.0,Winter,2011,2011/2012
Giacomo Tulli,24,Left Winger,AC Pisa,0.0,Winter,2011,2011/2012
Erjon Bogdani,34,Centre-Forward,Siena,0.0,Winter,2011,2011/2012
Marko Livaja,18,Centre-Forward,Inter,0.0,Winter,2011,2011/2012
Elia Ballardini,20,Right Midfield,Andria,0.0,Winter,2011,2011/2012
Alex Teodorani,20,Goalkeeper,Carrarese,0.0,Winter,2011,2011/2012
Fabio Cusaro,27,Centre-Back,Alessandria,0.0,Winter,2011,2011/2012
Roope Riski,20,Centre-Forward,Hönefoss,0.0,Winter,2011,2011/2012
Giacomo Bassoli,21,Right-Back,Valenzana,0.0,Winter,2011,2011/2012
César Meza Colli,20,Attacking Midfield,Alavés,0.0,Winter,2011,2011/2012
Kadir Caidi,21,Centre-Back,Bellaria IM,0.0,Winter,2011,2011/2012
Aldo Simoncini,25,Goalkeeper,Valenzana,0.0,Winter,2011,2011/2012
Abdelkader Ghezzal,27,Centre-Forward,Bari,0.0,Winter,2011,2011/2012
Antonio Candreva,24,Right Midfield,Udinese Calcio,0.0,Winter,2011,2011/2012
Emmanuel Cascione,30,Central Midfield,Parma,2500000.0,Summer,2014,2014/2015
Federico Agliardi,31,Goalkeeper,Bologna,2000000.0,Summer,2014,2014/2015
Felice Di Cecco,20,Defensive Midfield,Brescia U19,1600000.0,Summer,2014,2014/2015
Mohamed Traoré,22,Right-Back,Parma,1500000.0,Summer,2014,2014/2015
Carlo Crialese,21,Left-Back,Parma,1000000.0,Summer,2014,2014/2015
Luka Krajnc,19,Centre-Back,Genoa,450000.0,Summer,2014,2014/2015
Zé Eduardo,22,Defensive Midfield,Parma,300000.0,Summer,2014,2014/2015
Antonio Mazzotta,25,Left-Back,Crotone,200000.0,Summer,2014,2014/2015
Franco Brienza,35,Attacking Midfield,Atalanta BC,100000.0,Summer,2014,2014/2015
Stefano Lucchini,33,Centre-Back,Atalanta BC,100000.0,Summer,2014,2014/2015
Gabriele Perico,30,Right-Back,Cagliari Calcio,100000.0,Summer,2014,2014/2015
Walter Bressan,33,Goalkeeper,Varese,0.0,Summer,2014,2014/2015
Manuel Coppola,32,Central Midfield,Siena,0.0,Summer,2014,2014/2015
Constantin Nica,21,defence,Atalanta BC,0.0,Summer,2014,2014/2015
Davide Adorni,21,Centre-Back,Parma,0.0,Summer,2014,2014/2015
Fabio Reato,21,Centre-Back,Pavia,0.0,Summer,2014,2014/2015
Carlos Carbonero,24,Attacking Midfield,Estudiantes,0.0,Summer,2014,2014/2015
Nico Pulzetti,30,Central Midfield,Bologna,0.0,Summer,2014,2014/2015
Hördur Magnússon,21,Centre-Back,Juventus,0.0,Summer,2014,2014/2015
Riccardo Cazzola,28,Defensive Midfield,Atalanta BC,0.0,Summer,2014,2014/2015
Luigi Giorgi,27,Central Midfield,Atalanta BC,0.0,Summer,2014,2014/2015
Massimo Volta,27,Centre-Back,Sampdoria,0.0,Summer,2014,2014/2015
Nicola Leali,21,Goalkeeper,Juventus,0.0,Summer,2014,2014/2015
Hugo Almeida,30,Centre-Forward,Without Club,0.0,Summer,2014,2014/2015
Luca Valzania,18,Central Midfield,Cesena U19,0.0,Summer,2014,2014/2015
Luca Ceccarelli,31,Right-Back,Bologna,-2500000.0,Summer,2014,2014/2015
Nicola Ravaglia,25,Goalkeeper,Parma,-2500000.0,Summer,2014,2014/2015
Emanuele Fonte,21,Centre-Back,Brescia,-2400000.0,Summer,2014,2014/2015
Francesco Urso,20,Defensive Midfield,Vicenza,-2000000.0,Summer,2014,2014/2015
Andrea Rossini,24,Goalkeeper,Parma,-1600000.0,Summer,2014,2014/2015
Nicolò Lolli,19,Centre-Forward,Parma,-1500000.0,Summer,2014,2014/2015
Gianluca Turchetta,23,Left Winger,Parma,-1000000.0,Summer,2014,2014/2015
Emmanuel Cascione,30,Central Midfield,Parma,0.0,Summer,2014,2014/2015
Marco D'Alessandro,23,Right Winger,AS Roma,0.0,Summer,2014,2014/2015
Alessandro Tonti,22,Goalkeeper,Teramo,0.0,Summer,2014,2014/2015
Antonio Romano,18,Attacking Midfield,S.Ant.Abate,0.0,Summer,2014,2014/2015
Sasa Cicarevic,19,Second Striker,San Marino,0.0,Summer,2014,2014/2015
Luca Ricci,25,Centre-Back,Catanzaro,0.0,Summer,2014,2014/2015
Daniele Forte,24,Central Midfield,Bellaria IM,0.0,Summer,2014,2014/2015
Louise Parfait,24,Defensive Midfield,FC Chiasso,0.0,Summer,2014,2014/2015
Alex Teodorani,23,Goalkeeper,Vis Pesaro,0.0,Summer,2014,2014/2015
Marco Mariani,21,Central Midfield,Giulianova,0.0,Summer,2014,2014/2015
Filippo Capitanio,21,Centre-Back,Santarcangelo,0.0,Summer,2014,2014/2015
Fabrizio Bramati,21,Defensive Midfield,Savona,0.0,Summer,2014,2014/2015
Riccardo Melgrati,20,Goalkeeper,Südtirol,0.0,Summer,2014,2014/2015
Andrea Ingegneri,22,Centre-Back,Bassano,0.0,Summer,2014,2014/2015
Carlo Crialese,21,Left-Back,Cremonese,0.0,Summer,2014,2014/2015
Nicola Capellini,23,Attacking Midfield,Forlì,0.0,Summer,2014,2014/2015
Nicolò Lini,20,Centre-Back,Tre Fiori,0.0,Summer,2014,2014/2015
Matteo Grandi,21,Goalkeeper,Bassano,0.0,Summer,2014,2014/2015
Tommaso Arrigoni,20,Central Midfield,Forlì,0.0,Summer,2014,2014/2015
Mohamed Traoré,22,Right-Back,Santarcangelo,0.0,Summer,2014,2014/2015
