player_name,age,position,club_involved,fee,transfer_period,year,season
Alassane Traoré,18,Central Midfield,Inter U19,0.0,Winter,2014,2014/2015
George Puscas,18,Centre-Forward,Inter U19,0.0,Winter,2014,2014/2015
Federico Bonazzoli,17,Centre-Forward,Sampdoria,-4500000.0,Winter,2014,2014/2015
Álvaro Pereira,29,Left-Back,Estudiantes,-1000000.0,Winter,2014,2014/2015
Ibrahima Mbaye,20,Right-Back,Bologna,-500000.0,Winter,2014,2014/2015
Rene Krhin,24,Defensive Midfield,Córdoba CF,-500000.0,Winter,2014,2014/2015
Diego Laxalt,21,Left-Back,Genoa,-500000.0,Winter,2014,2014/2015
Matteo Colombi,20,Centre-Forward,Torres,0.0,Winter,2014,2014/2015
Tidjane Baldé,18,Left Winger,Cardiff U23,0.0,Winter,2014,2014/2015
Fabio Eguelfi,20,Left-Back,Savona,0.0,Winter,2014,2014/2015
Patrick Olsen,20,Central Midfield,Without Club,0.0,Winter,2014,2014/2015
Yann M'Vila,24,Defensive Midfield,Rubin Kazan,0.0,Winter,2014,2014/2015
Daniel Osvaldo,29,Centre-Forward,Southampton,0.0,Winter,2014,2014/2015
Geoffrey Kondogbia,22,Defensive Midfield,Monaco,36000000.0,Summer,2015,2015/2016
Ivan Perisic,26,Left Midfield,VfL Wolfsburg,19000000.0,Summer,2015,2015/2016
Xherdan Shaqiri,23,Right Winger,Bayern Munich,15000000.0,Summer,2015,2015/2016
Jeison Murillo,23,Centre-Back,Granada CF,8000000.0,Summer,2015,2015/2016
Felipe Melo,32,Defensive Midfield,Galatasaray,4200000.0,Summer,2015,2015/2016
Miranda,30,Centre-Back,Atlético Madrid,4000000.0,Summer,2015,2015/2016
Davide Santon,24,Right-Back,Newcastle,3700000.0,Summer,2015,2015/2016
Vincenzo Tommasone,20,Second Striker,Genoa U19,3700000.0,Summer,2015,2015/2016
Stevan Jovetic,25,Centre-Forward,Man City,2500000.0,Summer,2015,2015/2016
Adem Ljajic,23,Attacking Midfield,AS Roma,1750000.0,Summer,2015,2015/2016
Martín Montoya,24,Right-Back,Barcelona,1300000.0,Summer,2015,2015/2016
Alex Telles,22,Left-Back,Galatasaray,1300000.0,Summer,2015,2015/2016
Evans Kondogbia,26,Centre-Forward,AC Arles,0.0,Summer,2015,2015/2016
Francesco Forte,22,Centre-Forward,AC Pisa,0.0,Summer,2015,2015/2016
Rey Manaj,18,Centre-Forward,Cremonese,0.0,Summer,2015,2015/2016
Eloge Yao,19,Centre-Back,Inter U19,0.0,Summer,2015,2015/2016
Jonathan Biabiany,27,Right Winger,Without Club,0.0,Summer,2015,2015/2016
Federico Dimarco,17,Centre-Back,Inter U19,0.0,Summer,2015,2015/2016
Mateo Kovacic,21,Central Midfield,Real Madrid,-38000000.0,Summer,2015,2015/2016
Xherdan Shaqiri,23,Right Winger,Stoke City,-17000000.0,Summer,2015,2015/2016
Hernanes,30,Attacking Midfield,Juventus,-13000000.0,Summer,2015,2015/2016
Ricardo Álvarez,27,Central Midfield,Sunderland,-10500000.0,Summer,2015,2015/2016
Ibrahima Mbaye,20,Right-Back,Bologna,-3500000.0,Summer,2015,2015/2016
Michael Ventre,19,Second Striker,Genoa,-3500000.0,Summer,2015,2015/2016
Rubén Botta,25,Attacking Midfield,Pachuca,-2700000.0,Summer,2015,2015/2016
Alfred Duncan,22,Central Midfield,Sampdoria,-2600000.0,Summer,2015,2015/2016
Joel Obi,24,Central Midfield,Torino,-2200000.0,Summer,2015,2015/2016
Zdravko Kuzmanovic,27,Central Midfield,FC Basel,-2000000.0,Summer,2015,2015/2016
